Protein_ID	Cancer Driver
STAT5B-221	Census, Compendium
ZEB1-217	Census, Compendium
IL7R-210	Census, Compendium
NONO-223	Census, Compendium
DICER1-202	Census, Compendium
FANCD2-204	Census, Compendium
STAT3-224	Census, Compendium
HNRNPA2B1-247	Census, Compendium
HSP90AB1-201	Census, Compendium
DDX3X-219	Census, Compendium
SMAD2-208	Census, Compendium
MYC-211	Census, Compendium
ARHGEF12-202	Census, Compendium
FGFR1-226	Census, Compendium
KDR-201	Census, Compendium
RAF1-214	Census, Compendium
RALGDS-203	Census, Compendium
SMARCB1-204	Census, Compendium
FANCF-201	Census, Compendium
XPO1-234	Census, Compendium
IKBKB-210	Census, Compendium
RUNX1T1-245	Census, Compendium
KMT2C-248	Census, Compendium
NF2-212	Census, Compendium
EZH2-201	Census, Compendium
CDK4-207	Census, Compendium
ASXL1-201	Census, Compendium
SOCS1-202	Census, Compendium
XPO1-205	Census, Compendium
KIT-218	Census, Compendium
MYH11-201	Census, Compendium
RAP1GDS1-212	Census, Compendium
TP63-204	Census, Compendium
RAF1-203	Census, Compendium
PTPRK-221	Census, Compendium
CHD4-218	Census, Compendium
QKI-205	Census, Compendium
PTPN6-202	Census, Compendium
FAT4-202	Census, Compendium
ERCC3-213	Census, Compendium
JAK1-211	Census, Compendium
PBRM1-209	Census, Compendium
MEN1-210	Census, Compendium
HNRNPA2B1-244	Census, Compendium
EPHA7-202	Census, Compendium
NFE2L2-240	Census, Compendium
RAF1-202	Census, Compendium
POLD1-203	Census, Compendium
TSC1-239	Census, Compendium
MTCP1-202	Census, Compendium
FGFR2-207	Census, Compendium
JAK1-230	Census, Compendium
ATR-207	Census, Compendium
PRKAR1A-215	Census, Compendium
KDM6A-214	Census, Compendium
RAF1-249	Census, Compendium
BIRC6-214	Census, Compendium
BMPR1A-203	Census, Compendium
PABPC1-220	Census, Compendium
ASXL1-220	Census, Compendium
FOXP1-251	Census, Compendium
NFKB2-204	Census, Compendium
PBRM1-201	Census, Compendium
BCR-201	Census, Compendium
MDM2-219	Census, Compendium
KDM5C-219	Census, Compendium
ACVR1-201	Census, Compendium
CHD4-207	Census, Compendium
MB21D2-201	Census, Compendium
KAT6B-231	Census, Compendium
CBFB-201	Census, Compendium
PRKAR1A-205	Census, Compendium
VAV1-210	Census, Compendium
CCND2-201	Census, Compendium
DDX3X-243	Census, Compendium
ATM-248	Census, Compendium
ERBB2-204	Census, Compendium
BTK-217	Census, Compendium
BRCA1-216	Census, Compendium
KEAP1-201	Census, Compendium
ACSL3-222	Census, Compendium
EXT2-202	Census, Compendium
POT1-224	Census, Compendium
NFATC2-206	Census, Compendium
KDM6A-211	Census, Compendium
TFG-203	Census, Compendium
NFE2L2-202	Census, Compendium
ZNF521-201	Census, Compendium
NSD2-204	Census, Compendium
SPOP-212	Census, Compendium
EWSR1-206	Census, Compendium
BRCA1-219	Census, Compendium
KLF4-203	Census, Compendium
ACVR1-203	Census, Compendium
RAC1-209	Census, Compendium
POLD1-213	Census, Compendium
AKT1-208	Census, Compendium
CSF3R-203	Census, Compendium
SMARCA4-255	Census, Compendium
FGFR4-203	Census, Compendium
MEN1-201	Census, Compendium
ZNF429-201	Census, Compendium
MTOR-201	Census, Compendium
SMC1A-208	Census, Compendium
NONO-202	Census, Compendium
FGFR2-215	Census, Compendium
SMAD4-209	Census, Compendium
DDB2-202	Census, Compendium
FH-201	Census, Compendium
STAT3-246	Census, Compendium
STAT3-237	Census, Compendium
RNF43-201	Census, Compendium
TSC1-222	Census, Compendium
BRCA2-204	Census, Compendium
CACNA1D-202	Census, Compendium
CDH11-201	Census, Compendium
ERBB3-227	Census, Compendium
EXT2-201	Census, Compendium
CRNKL1-201	Census, Compendium
NFE2L2-257	Census, Compendium
FANCC-213	Census, Compendium
GATA1-202	Census, Compendium
CUX1-203	Census, Compendium
PCBP1-201	Census, Compendium
SET-213	Census, Compendium
POT1-215	Census, Compendium
DICER1-201	Census, Compendium
PML-201	Census, Compendium
HOXD13-201	Census, Compendium
TSC1-231	Census, Compendium
JAK1-216	Census, Compendium
IL7R-204	Census, Compendium
JAK2-201	Census, Compendium
POLE-201	Census, Compendium
DICER1-229	Census, Compendium
APC-210	Census, Compendium
ATM-201	Census, Compendium
KMT2D-210	Census, Compendium
ENST00000674624	Census, Compendium
HNRNPA2B1-224	Census, Compendium
BCORL1-205	Census, Compendium
PDGFRB-204	Census, Compendium
NUMA1-202	Census, Compendium
NTRK1-202	Census, Compendium
ACSL3-202	Census, Compendium
NCOA1-203	Census, Compendium
SMAD2-211	Census, Compendium
ATM-217	Census, Compendium
NFE2L2-209	Census, Compendium
ACSL3-219	Census, Compendium
ASXL2-201	Census, Compendium
PTEN-204	Census, Compendium
KDM6A-201	Census, Compendium
RECQL4-209	Census, Compendium
U2AF1-202	Census, Compendium
ELF3-203	Census, Compendium
SMC1A-201	Census, Compendium
NUP214-236	Census, Compendium
AXIN2-204	Census, Compendium
FHIT-203	Census, Compendium
FGFR1-243	Census, Compendium
CDH11-205	Census, Compendium
XPO1-221	Census, Compendium
XPO1-241	Census, Compendium
TBX3-201	Census, Compendium
USP9X-212	Census, Compendium
CASP8-225	Census, Compendium
TBX3-202	Census, Compendium
ATM-209	Census, Compendium
FOXP1-256	Census, Compendium
ACSL3-204	Census, Compendium
XPO1-247	Census, Compendium
RBM15-205	Census, Compendium
ELF3-202	Census, Compendium
CTNNB1-251	Census, Compendium
NONO-229	Census, Compendium
CARD11-203	Census, Compendium
ATM-242	Census, Compendium
HNRNPA2B1-211	Census, Compendium
DDX3X-204	Census, Compendium
PABPC1-217	Census, Compendium
DICER1-214	Census, Compendium
DDX3X-232	Census, Compendium
FANCA-225	Census, Compendium
HRAS-203	Census, Compendium
