Gene	ROLE	CANCER_TYPE
KMT2A	LoF	ACC, BCNET, BLCA, CM, ESCA, HC, OV, PRAD, SBCC, THCA
KMT2B	LoF	OS, VV
KMT2C	LoF	ACY, AML, AN, BLCA, BRCA, CESC, CH, CM, COREAD, ESCA, EWS, HC, HNSC, LUAD, LUSC, MBL, NSPH, OV, PAAD, PAIS, PCPG, PIA, PRAD, RCCC, RPC, SCLC, SG, SSCC, ST, THCA, UCEC, VV
KMT2D	LoF	ACY, ALL, AN, BLCA, BRCA, CESC, CH, CLL, DLBCL, ESCA, GBM, HC, HGG, HNSC, LUSC, LY, MBL, MESO, NB, NHLY, NSCLC, OV, PAAD, PIA, PRAD, RCH, SBCC, SCLC, SSCC, ST, UCEC
KRAS	Act	ALL, AML, AN, BC, BCNET, BLCA, BRCA, CESC, CH, CLL, CM, COREAD, DLBCL, ESCA, HC, LUAD, MGCT, MM, NSCLC, OV, PAAD, PAIS, PIA, PRAD, RPC, ST, THCA, UCEC, UCS
LATS1	LoF	CESC, COREAD, OV, PAAD, SBCC
LATS2	LoF	LUSC, MESO, VV
LDB1	Act	MBL, PIA
LIFR	Act	SCLC
LOX	LoF	BC
LPAR4	LoF	HNSC
LPP	Act	HNSC, UCS
LRIG3	ambiguous	BLCA, DLBCL, LUAD
LRP1B	LoF	AML, AN, BRCA, CH, CLL, CM, COREAD, ESCA, GBM, HC, HNSC, LUAD, LUSC, MBL, MGCT, MM, NB, NSCLC, OS, OV, PAAD, PRAD, RCCC, RHBDS, SBCC, SCLC, ST, THCA, UCS, UVM
LTB	Act	LY
LY75-CD302	Act	AML
LZTR1	LoF	ALL, GBM, PAAD, PRAD, UCEC
MAF	LoF	MM
MALT1	LoF	DLBCL
MAML2	LoF	AML, LUSC
MAP2	ambiguous	LY
MAP2K1	Act	BLCA, CM, COREAD, DLBCL, LUAD, NSCLC
MAP2K4	LoF	BRCA, CH, COREAD, PAAD
MAP2K7	LoF	ST
MAP3K1	LoF	BRCA, CESC, COREAD, GBM, HC, THCA, UCEC
