Gene	Tier	Role in Cancer	Tumour Types(Somatic)	Tumour Types(Germline)
GATA2	1	oncogene	AML (CML blast transformation)	
GATA3	1	oncogene, TSG	breast	
GNA11	1	oncogene	uveal melanoma, primary central nervous system melanocytic neoplasms	
H3F3A	1	oncogene	glioma	
H3F3B	1	oncogene	chondroblastoma	
HIF1A	1	oncogene	endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic	
HLA-A	1	fusion	Spitzoid tumour	
HMGA1	1	oncogene, fusion	microfollicular thyroid adenoma, various benign mesenchymal tumours	
HMGA2	1	oncogene, fusion	lipoma, leiomyoma, pleomorphic salivary gland adenoma	
HNF1A	1	TSG	hepatic adenoma, hepatocellular	hepatic adenoma, hepatocellular carcinoma
HOOK3	1	fusion	papillary thyroid	
HOXA9	1	oncogene, TSG, fusion	AML*	
IKBKB	1	oncogene	SMZL	
IKZF1	1	TSG, fusion	ALL, DLBCL	
IKZF3	1	oncogene, TSG, fusion	B-ALL, CLL, breast cancer, colorectal cancer	
IL21R	1	fusion	NHL	
IL6ST	1	oncogene	hepatocellular carcinoma	
ITGAV	2		large intestine carcinoma	
JAZF1	2	fusion	endometrial stromal tumour	
KAT6A	1	oncogene, fusion	AML	
KAT6B	1	TSG, fusion	AML, leiomyoma	
KCNJ5	1	oncogene	adrenal adenoma	
KDM5A	1	oncogene, fusion	AML	
KDM5C	1	TSG	clear cell renal carcinoma	
KDM6A	1	oncogene, TSG	renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types	
KEAP1	1	TSG	NSCLC, breast carcinoma	
KIF5B	1	fusion	NSCLC, Spitzoid tumour	
KMT2A	1	oncogene, fusion	AML, ALL	
KMT2C	1	TSG	medulloblastoma	
KMT2D	1	oncogene, TSG	medulloblastoma, renal	
LASP1	1	fusion	AML	
LATS1	1	TSG	skin basal cell carcinoma	
LATS2	1	TSG	malignant mesothelioma	
LRIG3	1	TSG, fusion	NSCLC	
LRP1B	1	TSG	CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer	
LZTR1	1	TSG	glioblastoma	glioblastoma, schwannoma
MACC1	2	oncogene	liver, CRC	
MALT1	1	oncogene, fusion	MALT	
MAML2	1	oncogene, fusion	salivary gland mucoepidermoid	
MAPK1	1	oncogene	CLL, ovarian mixed germ cell tumour, cervical carcinoma	
MECOM	1	oncogene, fusion	AML, CML, MDS	
MED12	1	TSG	uterine leiomyoma, fibroadenoma, phyllodes tumour	
MLLT1	1	fusion	AL	
MLLT3	1	fusion	ALL	
MLLT6	1	fusion	AL	
MRTFA	1	oncogene, TSG, fusion	acute megakaryocytic leukaemia	
MTCP1	1	oncogene, fusion	T cell prolymphocytic leukaemia	
MUC16	2	oncogene	HNSCC, melanoma	
MUTYH	1	TSG		colorectal
MYD88	1	oncogene	ABC-DLBCL	
MYH11	1	fusion	AML	
MYO5A	1	fusion	Spitzoid tumour	
MYOD1	1	oncogene	embryonal rhabdomyosarcoma	
N4BP2	2	TSG	lung cancer	
NCOA1	1	fusion	alveolar rhabdomyosarcoma	
NCOA2	1	oncogene, fusion	AML, chondrosarcoma, rhabdomyosarcoma	
NCOA4	1	TSG, fusion	papillary thyroid	
NCOR1	1	TSG	breast	
NCOR2	1	TSG	prostate	
NDRG1	1	TSG, fusion	prostate	
NFKB2	1	oncogene, TSG, fusion	B-NHL	
NR4A3	1	oncogene, fusion	extraskeletal myxoid chondrosarcoma	
NT5C2	1	oncogene	relapse ALL	
NTHL1	2	TSG		CRC
NTRK1	1	oncogene, TSG, fusion	papillary thyroid, Spitzoid tumour	
NTRK3	1	oncogene, fusion	congenital fibrosarcoma, secretory breast	
NUMA1	1	fusion	APL	
NUP98	1	oncogene, fusion	AML	
NUTM1	1	oncogene, fusion	lethal midline carcinoma	
OLIG2	1	oncogene, fusion	T-ALL	
P2RY8	1	oncogene, fusion	B-ALL, Down syndrome associated ALL	
PALB2	1	TSG		Wilms tumour, medulloblastoma, AML ,breast
PATZ1	1	TSG, fusion	Ewing sarcoma	
PBRM1	1	TSG	clear cell renal carcinoma, breast	
PCBP1	2		CRC	
PDGFB	1	oncogene, fusion	DFSP	
PLAG1	1	oncogene, fusion	salivary adenoma, lipoblastoma	
PLCG1	1	oncogene, fusion	angiosarcoma	
POLD1	1	TSG	CRC	CRC
PPARG	1	TSG, fusion	follicular thyroid	
PPM1D	1	oncogene	glioma, ovarian cancer, breast cancer	
PPP6C	1	TSG	melanoma	
PRDM1	1	TSG	DLBCL	
PRDM2	2	TSG	glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC	
PREX2	1	oncogene	melanoma, pancreatic ductal adenocarcinoma	
PRKCB	2		adult T-cell lymphoma-leukaemia	
PRKD1	2	fusion	cribriform adenocarcinoma of the minor salivary glands, polymorphous adenocarcinoma of the minor salivary glands	
PRRX1	1	fusion	AML	
PSIP1	1	oncogene, fusion	AML	
PTCH1	1	TSG	skin basal cell, medulloblastoma	skin basal cell, medulloblastoma
PTPN6	2	TSG	DLBCL	
PTPRB	1	TSG	angiosarcoma	
PTPRC	1	TSG	T-ALL	
PTPRD	2	TSG	lung cancer, kidney cancer, HNSCC, glioblastoma	
PTPRK	1	TSG, fusion	colorectal	
PTPRT	1	TSG	HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma	
RAD17	2	TSG	lymphoma, colon cancer	
RAD21	1	oncogene, TSG	AML, endometrium, colorectal, lung	
RBM10	1	TSG	lung adenocarcinoma	
RBM15	1	fusion	acute megakaryocytic leukaemia	
RFWD3	2	TSG	lung cancer	
RGPD3	2		endometrioid adenocarcinoma	
RNF43	1	TSG	cholangiocarcinoma, ovary, pancreas	
ROBO2	2	TSG	colorectal adenocarcinoma, melanoma	
RPL10	1	TSG	T-ALL	
RPL22	1	TSG, fusion	AML, CML	
RSPO2	1	TSG, fusion	colorectal	
RSPO3	1	oncogene, fusion	colorectal	
RUNX1	1	oncogene, TSG, fusion	AML, pre B-ALL, T-ALL	
SALL4	1	oncogene	colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma	
SEPT5	2	fusion	AML	
SEPT6	2	fusion	AML	
SEPT9	2	fusion	AML*	
SETD2	1	TSG	clear cell renal carcinoma	
SF3B1	1	oncogene	myelodysplastic syndrome	
SFRP4	1	TSG	colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC	
SH2B3	1	TSG	MPN, sAML, erythrocytosis, B-ALL	
SHTN1	2	fusion	Spitzoid tumour	
SIRPA	2	TSG	HNSCC, colorectal cancer, Lung SCC	
SMAD2	1	TSG	colorectal carcinoma, hepatocellular carcinoma	
SMAD3	1	TSG	colorectal carcinoma, oral squamous cell carcinoma	
SMAD4	1	TSG	colorectal, pancreatic, small intestine	gastrointestinal polyp
SMC1A	2	TSG	AML	
SNX29	2	fusion	PMBL, Hodgkin lymphoma	
SOCS1	1	TSG	Hodgkin lymphoma, PMBL	
SOX21	2	TSG	multiple myeloma	
SRSF2	1	oncogene	MDS, CLL	
SRSF3	1	oncogene, fusion	follicular lymphoma	
STAG1	2	TSG	colorectal cancer, AML	
STAG2	1	TSG	bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms	
STAT3	1	oncogene	T-cell large granular lymphocytic leukaemia	paediatric large granular lymphocytic leukaemia
STAT6	1	oncogene, fusion	solitary fibrous tumour, meningeal haemangiopericytoma	
STK11	1	TSG	NSCLC, pancreatic	jejunal hamartoma, ovarian, testicular, pancreatic
SUZ12	1	oncogene, TSG, fusion	endometrial stromal tumour	
TAF15	1	oncogene, fusion	extraskeletal myxoid chondrosarcoma, ALL	
TCEA1	1	fusion	salivary adenoma	
TCF12	1	fusion	extraskeletal myxoid chondrosarcoma	
TCL1A	1	oncogene, fusion	T-CLL	
TRAF7	1	TSG	meningioma	
TRRAP	1	oncogene	melanoma	
U2AF1	1	oncogene	CLL, MDS	
USP44	2	TSG	lung cancer, colon cancer	
USP9X	2	fusion	colon carcinoma	colon carcinoma
VTI1A	2	fusion	colorectal	
WWTR1	1	oncogene, fusion	epithelioid haemangioendothelioma	
YWHAE	1	TSG, fusion	endometrial stromal sarcoma	
ZFHX3	1	TSG	endometrial, gastric, prostate	
ZMYM2	1	fusion	MPN, NHL	
ZMYM3	2	TSG	CRC, breast cancer	
ZNRF3	2	TSG	colorectal cancer, adrenocortical carcinoma, gastric cancer	
ZRSR2	1	TSG	MDS, CLL	
ACVR1B	1	TSG	pancreatic cancer	
ACVR2A	1	TSG	large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus	
ARID1A	1	TSG, fusion	clear cell ovarian carcinoma, RCC, breast	
ARID1B	1	TSG	breast, hepatocellular carcinoma, clear cell ovarian carcinoma	
ATP1A1	1	oncogene, TSG	adrenal aldosterone producing adenoma	
ATP2B3	1	TSG	adrenal aldosterone producing adenoma	
